problem,algo,time,wfomc
ht1,inc,0.017116238828748465,"2"
ht2,inc,0.01592238014563918,"6"
ht3,inc,0.015626569744199514,"24"
ht4,inc,0.015804867260158062,"120"
ht5,inc,0.015395129099488258,"720"
ht6,inc,0.015839107800275087,"5040"
ht7,inc,0.015550458338111639,"40320"
ht8,inc,0.01565365679562092,"362880"
ht9,inc,0.015618527308106422,"3628800"
ht10,inc,0.01576568093150854,"39916800"
ht11,inc,0.016039828769862652,"479001600"
ht12,inc,0.015674083027988672,"6227020800"
ht13,inc,0.015768252778798342,"87178291200"
ht14,inc,0.015826517716050148,"1307674368000"
ht15,inc,0.01641073916107416,"20922789888000"
ht50,inc,0.01976868137717247,"1551118753287382280224243016469303211063259720016986112000000000000"
ht100,inc,0.02967948978766799,"9425947759838359420851623124482936749562312794702543768327889353416977599316221476503087861591808346911623490003549599583369706302603264000000000000000000000000"
ht150,inc,0.04744332702830434,"8627209774233240431623188626544191544816225903687700891564804750810154197851655157362112747789971982951943289690774984828562603780001360174419748328584232052816331406456102618328128950857189333333217935399039885261005462721003520000000000000000000000000000000000000"
ht200,inc,0.06867505889385939,"158520231340322891214025006000369197521322331515121825922243249182116249442644071926981161086408909404739619639922847404881786200838770058117447251615518816153806034311423426764716794777728411569911784512291060691664690376713087265508782372723922354551304572738521493300705432412738235136532691872618031963366780714364483372318720000000000000000000000000000000000000000000000000"
ht250,inc,0.09876247216016054,"811446921488186040812524452558116486219705773136118947353733549205318760636332913581693296758128078062183055345650547664609463859915056696520548600046891762340808337287505448037728337751512715064266648553413711482053864096073935168807868779389231199415987090547371213614453678579719100407204882954963078533417133568165939310960491560595435373673195910930411701938747154349882416287042721093688617485205308997682124247612021055212748800000000000000000000000000000000000000000000000000000000000000"
