problem,algo,time,wfomc
d1,inc3,0.03158406401053071,"5"
d2,inc3,0.03032863698899746,"126"
d3,inc3,0.03198727604467422,"25140"
d4,inc3,0.042263387935236096,"43314480"
d5,inc3,0.09652498795185238,"515805382080"
d6,inc3,0.28218008496332914,"36780214435344000"
d7,inc3,0.9702392760664225,"14527487026765636358400"
d8,inc3,2.5822586150607094,"30225406300942734588946176000"
d9,inc3,9.083776197978295,"319636824914217918333827740730572800"
d10,inc3,25.528255235985853,"16725342765122298554900934425845411049472000"
d11,inc3,58.05665371695068,"4239994755170320762755385694969540721586191605760000"
d12,inc3,151.34964013495483,"5119239344945320805369609210284192768835364130080441139200000"
d13,inc3,387.52272633300163,"29022575345725488569816423285570527159167507443405425862288043540480000"
d14,inc3,887.919330274919,"763394230502788560510359325445478885735876284626483496571564697426044178923520000"
d15,inc3,1924.777460237965,"92209306351096720261510102430577264185758318630592344807218794786919896628819238177996800000"
d1,inc3,0.03146160102915019,"5"
d2,inc3,0.0247740070335567,"126"
d3,inc3,0.026052647968754172,"25140"
d4,inc3,0.03479280695319176,"43314480"
d5,inc3,0.07691434503067285,"515805382080"
d6,inc3,0.24335540796164423,"36780214435344000"
d7,inc3,0.8147426879731938,"14527487026765636358400"
d8,inc3,2.555736977024935,"30225406300942734588946176000"
d16,inc3,3946.0357928590383,"50691055167836521864704826449637088106442305716789961944993153934474602672708795104274008972984320000000"
d17,inc3,8554.527880182024,"125838172940237726749117409512404234591592899822364464782852490438710344318586107283745024079084463715841474560000000"
d1,ganak,0.02253236307296902,"5"
d2,ganak,0.013003531959839165,"126"
d3,ganak,0.11486323701683432,"25140"
d4,ganak,0.2391376580344513,"43314480"
d5,ganak,0.4399499510182068,"515805382080"
d6,ganak,1.1607550639891997,"36780214435344000"
d7,ganak,6.949270837008953,"14527487026765636358400"
d8,ganak,38.46816447307356,"30225406300942734588946176000"
d9,ganak,534.5341475930763,"319636824914217918333827740730572800"
d10,ganak,6628.006934633013,"16725342765122298554900934425845411049472000"
d1,d4,0.023925555986352265,"5"
d2,d4,0.01002775994129479,"126"
d3,d4,0.018304819939658046,"25140"
d4,d4,0.019986305967904627,"43314480"
d5,d4,0.07003090891521424,"515805382080"
d6,d4,0.7498372480040416,"36780214435344000"
d7,d4,8.097473983070813,"14527487026765636358400"
d8,d4,111.94098741293419,"30225406300942734588946176000"
d9,d4,1734.562803430017,"319636824914217918333827740730572800"
