problem,algo,time,wfomc
zt4_p03,inc2,0.03848958801245317,"17130982140344351076288159205679399177098838922386615650367689245/25711008708143844408671393477458601640355247900524685364822016"
zt5_p03,inc2,0.037743646011222154,"1689723757935414111401518585838634464915301153646560427674501608967198019610137335/57896044618658097711785492504343953926634992332820282019728792003956564819968"
zt6_p03,inc2,0.037722535023931414,"14777374642733328356727223997783464032882237845077070518129476682494833893051198425133036528514775/8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504"
zt8_p03,inc2,0.03905816801125184,"5546232431139295537383759423907134557539018650266748856677299191446672157427995991695961090702614278714654245428002754628341126370565/330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128"
zt10_p03,inc2,0.043431480997242033,"42133290932902079655092279710806025636488847393711748299442853668763263865802746648133398495462705353171580300768515968459490432120248163873412839311537097728921104975/104748499452676539840422070298483172870932545473378073263465323779076281484949585756264642954428933028828373892081922272294952209468332577706512882860032"
zt12_p03,inc2,0.05485709698405117,"177511165323661536212556411309461586694102891613821309138775502040666703901229726005359615165412157171493508159343061663311895187579776961429663710501363041037213792257934237065787203499818315649904865875/8498207885068273579033411304839498037273489883632510771191106211206456957773635883826600036243668570702229271779944016245545269402443315830552319660265397631101300333366291504507650048"
zt14_p03,inc2,0.08258474903414026,"699024026320491179921562690835494366486540754434276158566793796381309780947366022795564297069698785908717961737402304255629971454522039536531938531322687965157370043817628463520348109894783758123721882603268556862351545647891405964684625/336648697699095904463423352504328234595221747380683127007889977796398857875013172615274658321765660878526910006795405933633243664011763447240180145321720374397134314952220454284266480504596653905362768111090008064"
zt16_p03,inc2,0.141145937028341,"19724673107397987163910048172009768328537862990586983367682436285173908310418373590001211173652221670265226129357428983504090891569790247464992298412109891753150098516618809945995089605055985749596840005134771006716904682972136569162779409753964341291869872644154982115046875/54624374234151766213262145869588543874209860176411919649966143993970993052202041929903572589539772749766081827581405105732721063150545838738336612780694159737611530891378807262929537318189580490579681412185183043434010607923007170897214483464192"
zt18_p03,inc2,0.2630375850130804,"888101639705327630747283522477358677024606193122528948888979466510376905778309524113049216399055000506773793411488106063424752475369274933062967521920355751879629954638802634026694811553876952738274439408681601854164813642576162009389222922695349688780478338877390287922096097824514206955244288011783093908875/8655577598126739396236735036072208081204794589775815018544508256693025219489380097628852320463375366466345287569524796274808382414891999842312830623136802028067007430639699299020497185610570810212749031968132110813561295548441587529128294789399125630804600109428539364737024"
zt20_p03,inc2,0.5235101379803382,"63418243455703822803626976697637733716106361466058829334664379639320426939061466917197110457873486781919551044472103748216445696059087957816217111267075146064055791319502012933234214044146322279943672638154318579080498978423330937526251850220738419727754537963936677831087253138648472113252970670426228789057281715905507318610035983361600502376875/1404447761611184302913519680303925573139044514798677009948672509044786529730476274474284979081308875165000889686495260606709295068862629863225370551870891596701311667381761603721111090634735110308227210563164107569048052205800491261514946176100212790338675864723330454999587858894372783631526221325189251072"
zt30_p03,inc2,7.039706569048576,"10870593954392724545926701983848611549088532563671836941187277725336444358904548462192520386617710008029920677876999063703914209684260477336399807598756891332780833936321000331583391859783998482704280782765531443771895224757429672702125611783471362696659693957933285233348058010002105464221349227522443151823388998689176636656509187991069692493465978651076286872323551949030995285175475298796135361677690937148798189844157566422042579372818626433717991447736232065694545122416394595274228106690311113665218604203452525007605703125/73556897794220965227664691346078921902834876951467558330068207979286419421136572286043854495463441457014427681911865380488965361901701609038379302608971394392554118023120886986413027280202682485255296116253290407031169002011248752119793308169540648345880604289010640796797892922412641247918523070305965282298857699866381590059028076524742384340838000117520171927334359236958210180099947015529582982857071113494654476889220306778742777233924346522735740977152"
